City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,turiacu,-1.6633,-45.3717,23.23,93,100,1.59,BR,1674266365
324,saint-pierre,-21.3393,55.4781,25.82,73,0,2.57,RE,1674266365
325,brae,60.3964,-1.353,6.25,80,100,11.43,GB,1674266365
326,natal,-5.795,-35.2094,26.12,78,40,3.09,BR,1674266365
327,pong,19.1493,100.2752,22.48,54,2,0.72,TH,1674266365
328,emba,48.8264,58.1442,-9.31,73,0,4.77,KZ,1674266365
329,victoria point,-27.5833,153.3,30.64,56,35,4.02,AU,1674266365
330,loa janan,-0.583,117.095,25.54,94,100,0.31,ID,1674266366
331,shache,38.4167,77.2406,-18.26,97,30,1.14,CN,1674266366
332,erzin,36.9559,36.2,10.24,59,0,3.01,TR,1674266366
333,ilulissat,69.2167,-51.1,-25.35,98,100,2.68,GL,1674266366
334,iqaluit,63.7506,-68.5145,-22.95,76,75,0.0,CA,1674266366
335,uvira,-3.4067,29.1458,21.54,81,73,1.29,CD,1674266366
336,san andres,12.5847,-81.7006,27.01,78,20,6.17,CO,1674266367
337,mahanoro,-19.9,48.8,24.47,95,100,3.46,MG,1674266367
338,broken hill,-31.95,141.4333,27.57,20,34,3.0,AU,1674266367
339,pangkalanbuun,-2.6833,111.6167,28.63,71,100,1.09,ID,1674266367
340,japura,-0.3167,102.35,24.78,91,100,0.77,ID,1674266244
341,junnar,19.2,73.8833,16.32,47,44,1.35,IN,1674266368
342,picota,-6.9197,-76.3304,22.27,98,98,0.24,PE,1674266368
343,manokwari,-0.8667,134.0833,27.03,75,100,0.58,ID,1674266368
344,faya,18.3851,42.4509,10.06,68,0,0.06,SA,1674266368
345,vila,42.0304,-8.1588,7.49,95,100,1.52,PT,1674266368
346,tahoua,14.8888,5.2692,20.4,17,0,4.5,NE,1674266368
347,vestmannaeyjar,63.4427,-20.2734,7.48,86,100,12.0,IS,1674266369
348,san patricio,28.017,-97.5169,16.02,74,100,6.96,US,1674266369
349,gat,31.61,34.7642,13.0,52,2,1.44,IL,1674266369
350,alta floresta,-9.8756,-56.0861,21.14,95,35,1.07,BR,1674266369
351,maarianhamina,60.0973,19.9348,-0.08,100,75,2.06,AX,1674266369
352,pangody,65.85,74.4859,-19.53,97,100,11.42,RU,1674266369
353,elat,29.5581,34.9482,12.91,50,3,2.06,IL,1674266369
354,paithan,19.4833,75.3833,14.82,45,47,1.65,IN,1674266370
355,kamiiso,41.8167,140.65,-1.79,64,40,4.63,JP,1674266237
356,hervey bay,-25.2986,152.8535,26.68,66,74,5.81,AU,1674266370
357,aksarka,66.5606,67.7975,-9.4,97,100,2.54,RU,1674266370
358,baherden,38.4362,57.4316,-0.59,62,1,2.58,TM,1674266370
359,cherskiy,68.75,161.3,-40.42,100,100,1.05,RU,1674266370
360,tera,14.0078,0.7531,21.54,14,1,3.82,NE,1674266371
361,doba,8.65,16.85,22.08,24,100,1.92,TD,1674266371
362,imbituba,-28.24,-48.6703,22.02,92,6,3.83,BR,1674266371
363,maragogi,-9.0122,-35.2225,24.73,80,37,2.62,BR,1674266371
364,bara,10.3744,10.7288,20.19,25,5,3.57,NG,1674266371
365,edd,13.9297,41.6925,25.56,52,2,7.79,ER,1674266372
366,charters towers,-20.1,146.2667,29.59,50,14,5.07,AU,1674266372
367,kropotkin,45.4375,40.5756,2.84,73,100,9.53,RU,1674266372
368,oksfjord,70.2396,22.3479,3.1,92,92,4.61,NO,1674266372
369,armidale,-30.5167,151.65,24.19,33,39,3.29,AU,1674266372
370,merauke,-8.4667,140.3333,25.45,90,100,5.82,ID,1674265934
371,vila velha,-20.3297,-40.2925,22.97,98,100,2.57,BR,1674266373
372,mecca,21.4267,39.8261,21.93,81,0,1.04,SA,1674266373
373,christchurch,-43.5333,172.6333,20.79,49,100,3.6,NZ,1674266304
374,miyakonojo,31.7333,131.0667,6.08,51,13,0.77,JP,1674266373
375,whitehorse,60.7161,-135.0538,0.43,93,100,9.77,CA,1674266373
376,shimoda,34.6667,138.95,8.2,60,99,4.46,JP,1674266373
377,grand-santi,4.25,-54.3833,21.85,99,100,0.94,GF,1674266374
378,diffa,13.3154,12.6113,19.93,19,3,4.0,NE,1674266374
379,poso,-1.3959,120.7524,28.15,70,100,1.7,ID,1674266343
380,mafinga,-7.25,35.0667,18.03,96,100,0.63,TZ,1674266375
381,ajaccio,42.0,8.9167,2.03,80,0,3.6,FR,1674266375
382,la ciotat,43.1748,5.6045,5.31,30,0,8.32,FR,1674266375
383,abdulino,53.7,53.6667,-19.78,77,5,2.09,RU,1674266375
384,totness,5.8833,-56.3167,23.91,91,100,4.9,SR,1674266375
385,jumla,29.2747,82.1838,-1.11,75,2,2.56,NP,1674266376
386,duncan,34.5023,-97.9578,10.59,41,75,4.63,US,1674266376
387,lincoln,40.8,-96.667,-3.5,100,86,1.4,US,1674266376
388,inhambane,-23.865,35.3833,26.35,70,95,3.48,MZ,1674266377
389,beyneu,45.3167,55.2,-4.12,78,0,5.52,KZ,1674266377
390,flinders,-34.5833,150.8552,25.1,62,85,2.24,AU,1674266216
391,le vauclin,14.5452,-60.8388,25.03,73,20,5.66,MQ,1674266377
392,quballat,36.5418,9.6633,7.05,59,74,6.38,TN,1674266377
393,east london,-33.0153,27.9116,22.91,88,1,4.3,ZA,1674266377
394,rawah,34.4816,41.9093,10.0,66,0,1.5,IQ,1674266377
395,gasa,31.5,34.4667,14.01,53,1,1.4,PS,1674266267
396,muana,-1.5283,-49.2167,23.54,92,92,1.75,BR,1674266378
397,wichita falls,33.9137,-98.4934,11.25,39,0,14.31,US,1674266379
398,necochea,-38.5473,-58.7368,20.4,92,100,3.57,AR,1674266379
399,henties bay,-22.116,14.2845,18.38,88,84,1.92,NA,1674266380
400,beloha,-25.1667,45.05,21.37,91,100,3.33,MG,1674266380
401,dali,25.7,100.1833,7.91,43,0,2.51,CN,1674266380
402,alofi,-19.0595,-169.9187,29.94,70,75,5.66,NU,1674266380
403,luderitz,-26.6481,15.1594,18.23,84,3,7.13,NA,1674266380
404,dajabon,19.5488,-71.7083,21.79,88,6,1.49,DO,1674266380
405,lichinga,-13.3128,35.2406,18.05,100,75,1.54,MZ,1674266380
406,dingle,10.9995,122.6711,26.71,82,100,5.03,PH,1674266381
407,buluang,13.3068,123.3425,26.63,79,100,3.13,PH,1674266381
408,fuyang,32.9,115.8167,5.69,64,2,4.99,CN,1674266381
409,gejiu,23.306,103.1635,5.7,84,88,2.46,CN,1674266381
410,iranshahr,27.2025,60.6848,8.76,47,0,1.04,IR,1674266381
411,paamiut,61.994,-49.6678,-19.05,80,8,4.55,GL,1674266382
412,hami,42.8,93.45,-8.83,46,100,1.6,CN,1674266382
413,samagaltay,50.6022,95.0047,-19.12,98,100,1.53,RU,1674266382
414,baruta,10.434,-66.8766,15.5,96,21,0.51,VE,1674266382
415,bambanglipuro,-7.95,110.2833,27.24,77,25,2.3,ID,1674266382
416,sept-iles,50.2001,-66.3821,-8.0,73,0,2.57,CA,1674266382
417,vila franca do campo,37.7167,-25.4333,14.23,72,100,3.05,PT,1674266382
418,arahal,37.1864,-5.5549,13.34,98,9,0.45,ES,1674266383
419,ginda,30.6945,78.4932,0.2,71,22,4.32,IN,1674266383
420,stornoway,58.2093,-6.3865,5.98,88,100,13.89,GB,1674266383
421,atagay,55.1033,99.3875,-38.64,100,100,1.03,RU,1674266385
422,laguna,38.421,-121.4238,10.08,57,0,0.0,US,1674266385
423,preobrazheniye,42.9019,133.9064,-12.51,42,16,2.55,RU,1674266386
424,pontianak,-0.0333,109.3333,23.99,100,75,0.79,ID,1674266386
425,suntar,62.1444,117.6319,-43.9,98,100,0.53,RU,1674266386
426,ust-ilimsk,58.0006,102.6619,-43.86,100,67,0.95,RU,1674266380
427,mawlaik,23.6333,94.4167,15.4,48,10,0.42,MM,1674266386
428,mahon,39.8885,4.2658,8.31,57,0,7.72,ES,1674266387
429,yar-sale,66.8333,70.8333,-12.87,94,100,7.92,RU,1674266387
430,pochutla,15.7432,-96.4661,24.9,83,7,1.42,MX,1674266387
431,broome,42.2506,-75.833,1.5,89,100,4.12,US,1674266387
432,cartersville,34.1651,-84.7999,8.09,69,0,0.0,US,1674266388
433,kollam,8.8833,76.6,22.32,73,78,3.8,IN,1674266388
434,maldonado,-34.6667,-54.9167,24.01,79,100,7.06,UY,1674266388
435,cotonou,6.3654,2.4183,27.99,83,49,4.12,BJ,1674266388
436,joshimath,30.5667,79.5667,-1.85,72,8,4.11,IN,1674266388
437,bhuban,20.8833,85.8333,18.4,69,2,1.14,IN,1674266389
438,maniitsoq,65.4167,-52.9,-20.09,93,52,4.96,GL,1674266389
439,oistins,13.0667,-59.5333,25.05,73,40,10.29,BB,1674266389
440,quanzhou,24.9139,118.5858,12.56,62,70,4.02,CN,1674266390
441,saint-louis,16.3333,-15.0,19.41,46,0,4.9,SN,1674266390
442,bonnyville,54.2668,-110.735,-5.11,92,100,3.81,CA,1674266390
443,san luis,-33.295,-66.3356,21.26,82,0,6.46,AR,1674266390
444,shingu,33.7333,135.9833,7.48,38,0,1.9,JP,1674266390
445,belyy,55.8402,32.9419,1.39,99,100,1.86,RU,1674266390
446,bongandanga,1.5,21.05,24.81,43,100,2.08,CD,1674266391
447,mantua,45.1667,10.7833,1.34,87,100,1.34,IT,1674266337
448,waynesville,35.4887,-82.9887,3.84,69,66,2.24,US,1674266391
449,hasaki,35.7333,140.8333,7.94,42,54,8.1,JP,1674266391
450,tezu,27.9167,96.1667,17.36,34,77,0.28,IN,1674266392
451,nelson bay,-32.7167,152.15,25.03,62,56,0.89,AU,1674266392
452,wollongong,-34.4333,150.8833,26.66,62,82,3.31,AU,1674266215
453,sibu,2.3,111.8167,25.17,94,40,1.54,MY,1674266392
454,roebourne,-20.7833,117.1333,29.74,63,19,4.08,AU,1674266137
455,clackmannan,56.1074,-3.751,0.53,89,100,1.32,GB,1674266392
456,lisieux,49.1667,0.1667,4.85,83,76,4.29,FR,1674266392
457,bafoulabe,13.8065,-10.8321,25.18,15,1,1.59,ML,1674266392
458,luwuk,-0.9516,122.7875,26.54,80,100,1.72,ID,1674266393
459,dhidhdhoo,6.8833,73.1,25.65,66,3,2.27,MV,1674266393
460,mao,39.8885,4.2658,8.31,57,0,7.72,ES,1674266393
461,leicester,52.6386,-1.1317,0.83,90,7,1.58,GB,1674266209
462,lompoc,34.6391,-120.4579,11.08,71,0,3.13,US,1674266393
463,ust-omchug,61.15,149.6333,-31.22,95,100,3.86,RU,1674266394
464,bari,41.1177,16.8512,9.19,77,0,6.17,IT,1674266394
465,bandarbeyla,9.4942,50.8122,24.35,66,86,7.64,SO,1674266394
466,pangai,-19.8,-174.35,30.06,66,40,3.09,TO,1674266394
467,griffith,41.5284,-87.4237,0.06,77,100,3.6,US,1674266394
468,ilo,-17.6394,-71.3375,21.19,85,31,2.18,PE,1674266395
469,halifax,44.6453,-63.5724,0.28,95,100,5.81,CA,1674266388
470,riyadh,24.6877,46.7219,10.08,51,2,2.84,SA,1674266313
471,mocuba,-16.8392,36.9856,22.92,94,100,1.05,MZ,1674266395
472,jinka,5.65,36.65,17.97,32,88,0.98,ET,1674266395
473,kavieng,-2.5744,150.7967,27.99,75,88,2.11,PG,1674266395
